"integrante","eu odeio...","força do ódio"
henry, certos presidentes de certos países, máxima
henry, quando o vizinho deixa a cachorra dele fazer xixi no corredor do prédio, máximo
henry, quando passa carro rebaixado na rua, médio
henry, quando furam fila no ru, mínimo
henry, quando não calam a boquinha, máximo
guilherme, catinga de cigarro, vontade de chutar um menozinho
guilherme, ficar de pe no onibus, vontade de voltar pra cama
guilherme, ficar de pé no onibus, vontade de voltar pra cama
guilherme, anao, sla so nao gosto msm
guilherme, fome, maxima 
guilherme, qnd eu esque�o de agendar no ru, maxima
